labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
2,7,SGD,0.005,2.304518962097168,0.1067,2.304518962097168,0.1067,0.0,0.0,3.0152515009976923,3.22894729510881,0.6644164551980793,6.914740006905049,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,8,SGD,0.005,2.303459392929077,0.1028,2.303459392929077,0.1028,0.0,0.0,3.15081473486498,3.3464921060949564,0.6840315849985927,7.184335694881156,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,9,SGD,0.005,2.3023995887756348,0.1028,2.3023995887756348,0.1028,0.0,0.0,3.164921049028635,3.395660118898377,0.6754341570194811,7.242483932059258,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,10,SGD,0.005,2.3013151863098145,0.1028,2.3013151863098145,0.1028,0.0,0.0,3.2465268762316555,3.27868770994246,0.6957243559882045,7.227110035950318,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,11,SGD,0.005,2.3001812843322753,0.1028,2.3001812843322753,0.1028,0.0,0.0,3.2686103070154786,3.5693494819570333,0.6927984259091318,7.53371365997009,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,12,SGD,0.005,2.298985522842407,0.1028,2.298985522842407,0.1028,0.0,0.0,3.2269698488526046,3.5054431250318885,0.7105551920831203,7.446710836142302,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,13,SGD,0.005,2.297712022399902,0.1028,2.297712022399902,0.1028,0.0,0.0,3.3359495070762932,3.3157777979504317,0.6785684230271727,7.333302184008062,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,14,SGD,0.005,2.296375470352173,0.1028,2.296375470352173,0.1028,0.0,0.0,3.1762248859740794,3.292671605013311,0.6773750118445605,7.152607134077698,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,15,SGD,0.005,2.2949081302642824,0.1028,2.2949081302642824,0.1028,0.0,0.0,3.3067720769904554,3.329998492030427,0.6626068961340934,7.30580634297803,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,16,SGD,0.005,2.294165166473389,0.1031,2.294165166473389,0.1031,0.0,0.0,3.172072567977011,3.3775601270608604,0.6661536998581141,7.221862456062809,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
