scenario,attack_enabled,malicious_client_id,attack_scale,labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
attack_client_0_scale_minus_5p0,True,0,-5.0,1,27,SGD,0.005,,0.098,,0.098,0.0,,3.1513506579212844,3.314930059015751,0.6776178078725934,7.1480608999263495,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,28,SGD,0.005,,0.098,,0.098,0.0,,3.1744020879268646,3.4974363329820335,0.672053644200787,7.346569383051246,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,29,SGD,0.005,,0.098,,0.098,0.0,,3.1811575850006193,3.292990545043722,0.6722006550990045,7.149507242953405,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,30,SGD,0.005,,0.098,,0.098,0.0,,3.1805710080079734,3.2228799171280116,0.6635661169420928,7.07017360185273,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,31,SGD,0.005,,0.098,,0.098,0.0,,3.2198289721272886,3.254200985888019,0.6617861101403832,7.138960393844172,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,32,SGD,0.005,,0.098,,0.098,0.0,,3.0438859860878438,3.308582884958014,0.6570092109031975,7.012825963785872,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,33,SGD,0.005,,0.098,,0.098,0.0,,3.018106868956238,3.2841987339779735,0.6517367011401802,6.9566751851234585,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,34,SGD,0.005,,0.098,,0.098,0.0,,3.325668509118259,3.1655862820334733,0.6598405609838665,7.154222036944702,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,35,SGD,0.005,,0.098,,0.098,0.0,,3.090037008980289,3.1981300010811538,0.6646161919925362,6.955771618988365,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,36,SGD,0.005,,0.098,,0.098,0.0,,3.1968445628881454,3.2191679100506008,0.6621370729990304,7.081445605028421,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,37,SGD,0.005,,0.098,,0.098,0.0,,3.226528669008985,3.104536938946694,0.6553030291106552,6.989078463986516,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,38,SGD,0.005,,0.098,,0.098,0.0,,3.125117229996249,3.363661946961656,0.6547454979736358,7.14612316689454,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,39,SGD,0.005,,0.098,,0.098,0.0,,3.303137319162488,3.3858180409297347,0.6870497800409794,7.3814375752117485,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,40,SGD,0.005,,0.098,,0.098,0.0,,3.1436926359310746,3.129135905066505,0.6543222630862147,6.929871995002031,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,41,SGD,0.005,,0.098,,0.098,0.0,,3.232830568915233,3.2377612909767777,0.6555581500288099,7.129904516972601,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,42,SGD,0.005,,0.098,,0.098,0.0,,3.084986293921247,3.4321782821789384,0.6682854839600623,7.188471573870629,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
